file,folder,run,dataset,category,time_seconds
07_Read_Filter_report.md,report,[Run 1],Read_Filter Ray - Run 1,ETL Read_Filter Ray,13.82
07_Read_Filter_report.md,report,[Run 2],Read_Filter Ray - Run 2,ETL Read_Filter Ray,13.9
07_Read_Filter_report.md,report,[Run 3],Read_Filter Ray - Run 3,ETL Read_Filter Ray,14.34
07_Read_Filter_report.md,report,[Run 4],Read_Filter Ray - Run 4,ETL Read_Filter Ray,13.37
07_Read_Filter_report.md,report,[Run 5],Read_Filter Ray - Run 5,ETL Read_Filter Ray,13.95
07_Read_Filter_Write_report.md,report,[Run 1],Read_Filter Ray - Run 1,ETL Read_Filter Ray,38.79
07_Read_Filter_Write_report.md,report,[Run 2],Read_Filter Ray - Run 2,ETL Read_Filter Ray,33.68
07_Read_Filter_Write_report.md,report,[Run 3],Read_Filter Ray - Run 3,ETL Read_Filter Ray,39.33
07_Read_Filter_Write_report.md,report,[Run 4],Read_Filter Ray - Run 4,ETL Read_Filter Ray,37.88
07_Read_Filter_Write_report.md,report,[Run 5],Read_Filter Ray - Run 5,ETL Read_Filter Ray,38.19
02_AMZN23_ETLs_Clean_Join_Gold_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\02_AMZN23_ETLs_Clean_Join_Gold,[Run 1],ETL Join Meta + Reviews,ETL Clean Join,362.7
02_AMZN23_ETLs_Clean_Join_Gold_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\02_AMZN23_ETLs_Clean_Join_Gold,[Run 2],ETL Join Meta + Reviews,ETL Clean Join,359.96
02_AMZN23_ETLs_Clean_Join_Gold_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\02_AMZN23_ETLs_Clean_Join_Gold,[Run 3],ETL Join Meta + Reviews,ETL Clean Join,361.78
02_AMZN23_ETLs_Clean_Join_Gold_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\02_AMZN23_ETLs_Clean_Join_Gold,[Run 4],ETL Join Meta + Reviews,ETL Clean Join,363.39
02_AMZN23_ETLs_Clean_Join_Gold_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\02_AMZN23_ETLs_Clean_Join_Gold,[Run 5],ETL Join Meta + Reviews,ETL Clean Join,382.18
03_AMZN23_ETLs_Model_Data_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\03_AMZN23_ETLs_Model_Data,[Run 1],Preprocesamiento para modelos,ETL Model Data,179.71
03_AMZN23_ETLs_Model_Data_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\03_AMZN23_ETLs_Model_Data,[Run 2],Preprocesamiento para modelos,ETL Model Data,195.22
03_AMZN23_ETLs_Model_Data_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\03_AMZN23_ETLs_Model_Data,[Run 3],Preprocesamiento para modelos,ETL Model Data,179.98
03_AMZN23_ETLs_Model_Data_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\03_AMZN23_ETLs_Model_Data,[Run 4],Preprocesamiento para modelos,ETL Model Data,164.64
03_AMZN23_ETLs_Model_Data_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\03_AMZN23_ETLs_Model_Data,[Run 5],Preprocesamiento para modelos,ETL Model Data,178.64
04_AMZN23_ML_Kmeans_5000_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_5000,[Run 1],KMeans Clustering Sampled,ML KMeans,654.43
04_AMZN23_ML_Kmeans_5000_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_5000,[Run 2],KMeans Clustering Sampled,ML KMeans,668.39
04_AMZN23_ML_Kmeans_5000_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_5000,[Run 3],KMeans Clustering Sampled,ML KMeans,693.57
04_AMZN23_ML_Kmeans_5000_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_5000,[Run 4],KMeans Clustering Sampled,ML KMeans,673.39
04_AMZN23_ML_Kmeans_5000_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_5000,[Run 5],KMeans Clustering Sampled,ML KMeans,701.04
04_AMZN23_ML_Kmeans_parquet_report.md,C:\Users\34699\Desktop\TFG-Ray-vs-Spark\data\report\04_AMZN23_ML_Kmeans_parquet,[Run 1],KMeans Clustering Amazon23,ML KMeans,2129.04
